Simplified,Unicode (Simp.),Traditional,Unicode (Trad.),Pinyin,HSK Grade,JD Rank,JD Frequency,JD Percentile
乐,20048,樂,27138,lè/yuè/yào/luò/liáo,2,619,64965,80.28811371
离,31163,離,38626,lí/lì/lǐ/chī/gǔ,2,418,100744,71.96550771
礼,31036,禮,31150,lǐ,2,926,35612,87.86476051
理,29702,理,29702,lǐ/li,2,89,398087,39.62525832
力,21147,力,21147,lì/li,2,106,359136,42.88963395
利,21033,利,21033,lì/li,2,155,268813,50.47195609
例,20363,例,20363,lì/liè,2,547,74579,77.70606241
脸,33080,臉,33225,liǎn,2,615,65727,80.15357076
练,32451,練,32244,liàn,2,1005,30963,89.22132253
凉,20937,涼,28092,liáng/liàng,2,1581,12156,95.09859273
亮,20142,亮,20142,liàng/liang/liáng,2,840,41016,86.16528262
辆,36742,輛,36635,liàng,2,1375,16767,93.57516339
量,37327,量,37327,liàng/liang/liáng,2,241,180008,59.7686292
留,30041,留,30041,liú/liù/liǔ,2,554,73287,77.97369768
流,27969,流,27969,liú,2,396,107397,70.78353691
旅,26053,旅,26053,lǚ,2,950,34384,88.29687092
绿,32511,綠,32160,lǜ,2,1088,26414,90.44583508
论,35770,論,35542,lùn/lún,2,205,197165,56.291443
卖,21334,賣,36067,mài/mai,2,974,32694,88.71207832
满,28385,滿,28415,mǎn/mèn,2,436,96954,72.88337341
猫,29483,貓,35987,māo,2,1673,10724,95.6430574
末,26411,末,26411,mò,2,1164,23526,91.42518116
目,30446,目,30446,mù,2,239,180827,59.58232919
鸟,40479,鳥,40165,niǎo/diǎo/dǎo/què,2,1263,19698,92.52345757
弄,24324,弄,24324,nòng/lòng,2,1053,28205,89.95463546
努,21162,努,21162,nǔ,2,1081,26564,90.35003346
爬,29228,爬,29228,pá,2,1426,15255,93.99440274
怕,24597,怕,24597,pà/bó,2,631,63520,80.68645376
排,25490,排,25490,pái/bài/pǎi,2,682,55938,82.26512382
碰,30896,碰,30896,pèng,2,1371,16919,93.54038478
篇,31687,篇,31687,piān,2,1008,30894,89.26925641
片,29255,片,29255,piàn/piān/pàn,2,455,90559,73.80688653
漂,28418,漂,28418,piào/piāo/piǎo/biāo,2,1568,12488,95.01586629
平,24179,平,24179,píng/pián/bìng/bēng,2,215,191267,57.28673758
瓶,29942,瓶,29942,píng,2,1703,10361,95.80641214
普,26222,普,26222,pǔ,2,630,63570,80.65362756
其,20854,其,20854,qí/jī/jì,2,85,403028,38.80023308
骑,39569,騎,39438,qí/jì,2,1398,16037,93.76924411
千,21315,千,21315,qiān,2,599,67843,79.60177344
墙,22681,牆,29254,qiáng,2,1212,21101,91.98366775
且,19988,且,19988,qiě/jū/cú,2,296,144597,64.34362257
青,38738,青,38738,qīng/jīng,2,497,82619,75.67775466
轻,36731,輕,36629,qīng/qìng,2,460,89852,74.03982743
清,28165,清,28165,qīng/qìng,2,335,127716,67.0923779
情,24773,情,24773,qíng/qing,2,120,312900,45.27560198
晴,26228,晴,26228,qíng,2,1968,7405,97.00799029
秋,31179,秋,31179,qiū,2,1151,24030,91.26522582
求,27714,求,27714,qiú,2,312,138216,65.51103916
取,21462,取,21462,qǔ/qū,2,323,134102,66.28367376
全,20840,全,20840,quán,2,124,305248,45.91194484
确,30830,確,30906,què,2,331,128417,66.82789553
然,28982,然,28982,rán/ran,2,55,511026,31.88029718
让,35753,讓,35731,ràng,2,339,125660,67.35324586
如,22914,如,22914,rú,2,67,449036,34.87840289
入,20837,入,20837,rù,2,210,192433,56.79129361
色,33394,色,33394,sè/shǎi,2,304,142231,64.93626918
声,22768,聲,32882,shēng/sheng,2,195,206083,55.25437823
省,30465,省,30465,shěng/xǐng/xiǎn,2,666,58642,81.79090472
实,23454,實,23526,shí/shi/zhì,2,100,368494,41.77033109
食,39135,食,39135,shí/shi/sì/yì,2,671,58110,81.94165043
使,20351,使,20351,shǐ,2,119,316273,45.11389991
示,31034,示,31034,shì/qí/zhì/shí,2,425,98963,72.32646663
市,24066,市,24066,shì,2,254,169522,60.94014492
适,36866,適,36969,shì/dí/tì/zhé,2,663,58927,81.69977483
室,23460,室,23460,shì,2,708,52846,82.99298106
收,25910,收,25910,shōu,2,351,120897,68.11688479
受,21463,受,21463,shòu/dào,2,238,180928,59.48888048
舒,33298,舒,33298,shū/yù,2,1459,14833,94.25077003
熟,29087,熟,29087,shú/shóu,2,1035,29271,89.686948
数,25968,數,25976,shù/shǔ/shu/shuò,2,231,183312,58.83031483
顺,39034,順,38918,shùn,2,938,34708,88.0826454
司,21496,司,21496,sī/cí/sì,2,278,155229,62.9608301
思,24605,思,24605,sī/si/sāi,2,298,144503,64.49297813
算,31639,算,31639,suàn/suan,2,403,105293,71.16797957
虽,34429,雖,38614,suī,2,504,81097,75.97440431
随,38543,隨,38568,suí,2,498,82599,75.7204406
所,25152,所,25152,suǒ,2,54,523028,31.61620654
它,23427,它,23427,tā/tuó/yí,2,107,346173,43.06853101
态,24577,態,24907,tài,2,528,77219,76.95900402
堂,22530,堂,22530,táng/tang,2,980,32367,88.81276408
讨,35752,討,35342,tǎo,2,833,41717,86.01648468
套,22871,套,22871,tào/tǎo,2,1091,26301,90.48666524
特,29305,特,29305,tè,2,173,239091,52.80067104
疼,30140,疼,30140,téng,2,1710,10279,95.84370698
提,25552,提,25552,tí/chí/shí/dǐ/dī,2,196,205159,55.36040135
题,39064,題,38988,tí/dì,2,218,189921,57.58201672
铁,38081,鐵,37941,tiě/dié,2,779,45798,84.80330677
庭,24237,庭,24237,tíng,2,931,35205,87.95614208
停,20572,停,20572,tíng,2,693,54453,82.5780491
挺,25402,挺,25402,tǐng/tíng,2,1467,14615,94.31149021
通,36890,通,36890,tōng/tòng,2,190,209046,54.71867773
头,22836,頭,38957,tóu/tou,2,147,274911,49.35401186
推,25512,推,25512,tuī,2,505,80933,76.01622929
腿,33151,腿,33151,tuǐ,2,1351,17509,93.36255075
完,23436,完,23436,wán/kuān,2,301,143120,64.71546498
碗,30871,碗,30871,wǎn,2,1939,7773,96.89428671
万,19975,萬,33836,wàn,2,322,134220,66.21437184
王,29579,王,29579,wáng/wàng/yù,2,299,143948,64.56736831
往,24448,往,24448,wǎng/wàng,2,369,116539,69.22164169
为,20026,為,28858,wèi/wéi,2,18,1039036,18.69133901
位,20301,位,20301,wèi/lì,2,182,214983,53.84232797
味,21619,味,21619,wèi/mèi,2,844,40704,86.24967519
喂,21890,喂,21890,wèi,2,1988,7184,97.08349209
喂,21890,餵,39221,wèi,2,1988,7184,97.08349209
温,28201,溫,28331,wēn,2,867,39312,86.72577486
闻,38395,聞,32862,wén/wèn,2,825,42253,85.84342264
务,21153,務,21209,wu/wù/wǔ/wú/máo/mào,2,245,176085,60.13676832
物,29289,物,29289,wù/wu,2,142,281146,48.63490587
夏,22799,夏,22799,xià/jiǎ,2,1126,24888,90.94883704
相,30456,相,30456,xiāng/xiàng,2,152,269125,50.05501488
响,21709,響,38911,xiǎng,2,503,81702,75.93249459
向,21521,向,21521,xiàng,2,146,276986,49.21194195
向,21521,嚮,22190,xiàng/xiǎng,2,146,276986,49.21194195
像,20687,像,20687,xiàng,2,294,145291,64.19417141
鞋,38795,鞋,38795,xié/wā,2,1638,11288,95.44340676
心,24515,心,24515,xīn/xin,2,90,392228,39.82795592
信,20449,信,20449,xìn/shēn,2,176,230248,53.1589649
姓,22995,姓,22995,xìng/shēng,2,1149,24142,91.24038913
须,39035,須,38920,xū,2,444,94903,73.27914504
许,35768,許,35377,xǔ/hǔ,2,263,166034,61.72080106
选,36873,選,36984,xuǎn/xuàn/suàn/shuā,2,499,82498,75.76307434
雪,38634,雪,38634,xuě,2,1003,30997,89.18930872
言,35328,言,35328,yán/yàn/yín,2,355,120308,68.36605067
颜,39068,顏,38991,yán,2,1545,12837,94.86552057
眼,30524,眼,30524,yǎn/wěn,2,281,152079,63.19847736
阳,38451,陽,38525,yáng,2,650,60867,81.29690465
养,20859,養,39178,yǎng/yàng,2,760,47702,84.34250755
药,33647,藥,34277,yào/shuò/lüè,2,662,59090,81.66932224
业,19994,業,26989,yè,2,130,296169,46.8439446
夜,22812,夜,22812,yè,2,665,58839,81.76059941
宜,23452,宜,23452,yi/yí,2,1290,18833,92.79188198
已,24050,已,24050,yǐ,2,117,318143,44.78635891
以,20197,以,20197,yǐ/sì,2,23,910627,21.19300593
椅,26885,椅,26885,yǐ/yī,2,1663,10917,95.58702962
亿,20159,億,20740,yì/yī,2,1057,27897,90.01255312
意,24847,意,24847,yì/yi/yī,2,104,360232,42.51837499
因,22240,因,22240,yīn,2,96,371612,41.00686891
阴,38452,陰,38512,yīn/yìn/ān,2,987,31936,88.92874772
音,38899,音,38899,yīn,2,540,76043,77.43332079
银,38134,銀,37504,yín,2,757,47955,84.26848325
印,21360,印,21360,yìn/yì,2,640,62179,80.97849472
应,24212,應,25033,yīng/yìng/ying,2,144,280384,48.92473241
英,33521,英,33521,yīng/yāng,2,371,116193,69.34188777
迎,36814,迎,36814,yíng/yìng,2,1069,27228,90.18334803
永,27704,永,27704,yǒng,2,842,40936,86.20760216
由,30001,由,30001,yóu/yāo,2,136,292199,47.75544971
油,27833,油,27833,yóu/yòu,2,948,34469,88.26128975
游,28216,遊,36938,yóu,2,695,54262,82.63422106
游,28216,游,28216,yóu/liú,2,695,54262,82.63422106
又,21448,又,21448,yòu,2,126,302933,46.22573935
于,20110,於,26044,wū/yú,2,40,630524,27.47711006
于,20110,于,20110,yú/wéi/yū/xū,2,40,630524,27.47711006
鱼,40060,魚,39770,yú,2,852,40452,86.41736266
育,32946,育,32946,yù/zhòu,2,609,66551,79.94875331
园,22253,園,22290,yuán,2,988,31925,88.94524609
原,21407,原,21407,yuán,2,193,207579,55.04129687
愿,24895,願,39000,yuàn/yuǎn,2,598,67915,79.56671318
越,36234,越,36234,yuè/huó,2,440,95657,73.08236669
云,20113,雲,38642,yún,2,692,54510,82.5499086
运,36816,運,36939,yùn,2,345,123903,67.73953758
咱,21681,咱,21681,zán/zan/zá/zǎ,2,1265,19554,92.54372796
脏,33039,髒,39634,zǎng/zāng,2,1634,11350,95.42001965
脏,33039,臟,33247,zàng/zāng,2,1634,11350,95.42001965
澡,28577,澡,28577,zǎo/cāo,2,2695,2882,98.80704906
占,21344,占,21344,zhàn/zhān/tiē,2,737,49980,83.76298212
占,21344,佔,20308,chān/diān/zhàn,2,737,49980,83.76298212
照,29031,照,29031,zhào,2,443,95020,73.23010058
者,32773,者,32773,zhě,2,103,360974,42.33221245
直,30452,直,30452,zhí,2,255,169439,61.02770848
只,21482,只,21482,zhǐ/zhī,2,97,370059,41.1981099
只,21482,隻,38587,huò/zhī,2,97,370059,41.1981099
只,21482,衹,34937,tǐ/zhī/qí/zhǐ,2,97,370059,41.1981099
纸,32440,紙,32025,zhǐ,2,1020,30001,89.45779824
钟,38047,鐘,37912,zhōng,2,905,36770,87.47156868
周,21608,周,21608,zhōu,2,490,83366,75.37842186
周,21608,週,36913,zhōu,2,490,83366,75.37842186
主,20027,主,20027,zhǔ/zhù,2,87,399693,39.2137754
助,21161,助,21161,zhù/chú,2,607,66867,79.87992528
装,35013,裝,35037,zhuāng,2,467,88143,74.36165796
自,33258,自,33258,zì,2,43,611687,28.43791595
租,31199,租,31199,zū/jū,2,1397,16052,93.76095643
组,32452,組,32068,zǔ/qū,2,358,119734,68.55210624
嘴,22068,嘴,22068,zuǐ,2,1010,30765,89.30108263
座,24231,座,24231,zuò,2,812,42814,85.5574384
按,25353,按,25353,àn,3,573,69984,78.67683967
把,25226,把,25226,bǎ/bà/pá,3,110,340730,43.59999801
搬,25644,搬,25644,bān/sù,3,1766,9478,96.12909588
保,20445,保,20445,bǎo,3,266,164424,61.97661952
被,34987,被,34987,bèi/bì/pī/pì,3,154,268905,50.33303753
币,24065,幣,24163,bì,3,1188,22592,91.71103982
标,26631,標,27161,biāo/biào,3,473,86324,74.63211074
并,24182,並,20006,bìng/bàn/bàng,3,141,281616,48.48961379
并,24182,併,20341,bìng,3,141,281616,48.48961379
播,25773,播,25773,bō/bǒ,3,1275,19327,92.64417858
补,34917,補,35036,bǔ,3,944,34542,88.18995479
布,24067,布,24067,bù,3,380,113652,69.8762803
布,24067,佈,20296,bù,3,380,113652,69.8762803
步,27493,步,27493,bù,3,349,121267,67.99186413
材,26448,材,26448,cái/cai,3,952,34237,88.33229551
采,37319,採,25505,cǎi,3,585,68946,79.10726846
采,37319,采,37319,cǎi/cài,3,585,68946,79.10726846
彩,24425,彩,24425,cǎi/cai,3,1177,22982,91.58165026
曾,26366,曾,26366,céng/zēng,3,463,89328,74.17867778
察,23519,察,23519,chá/cuì,3,564,71894,78.34813642
产,20135,產,29986,chǎn,3,159,265164,51.02328056
厂,21378,廠,24288,chǎng,3,963,33468,88.52448532
朝,26397,朝,26397,cháo/zhāo/zhū,3,593,68380,79.39087446
吵,21557,吵,21557,chǎo/miǎo/chāo/chào,3,2040,6709,97.26984791
衬,34924,襯,35183,chèn,3,2502,3700,98.48162274
城,22478,城,22478,chéng,3,413,102833,71.7037085
程,31243,程,31243,chéng,3,314,136962,65.65313026
持,25345,持,25345,chí,3,357,119990,68.49022949
充,20805,充,20805,chōng,3,690,54812,82.49351391
初,21021,初,21021,chū,3,667,58587,81.82118161
除,38500,除,38500,chú/zhù/shū,3,464,89272,74.22481222
础,30784,礎,30990,chǔ,3,1014,30477,89.36419191
传,20256,傳,20659,chuán/zhuàn,3,332,128186,66.89414015
创,21019,創,21109,chuàng/chuāng/qiāng,3,635,63156,80.81718334
此,27492,此,27492,cǐ,3,116,318534,44.62194733
村,26449,村,26449,cūn,3,712,52603,83.10187647
存,23384,存,23384,cún,3,384,110970,70.10802535
达,36798,達,36948,dá/dā/tà,3,289,147907,63.81502993
代,20195,代,20195,dài,3,174,231734,52.92042773
待,24453,待,24453,dài/dāi,3,673,57757,82.00149622
刀,20992,刀,20992,dāo/diāo,3,1067,27292,90.15517755
导,23548,導,23566,dǎo/dào,3,343,124463,67.61120795
底,24213,底,24213,dǐ/de,3,543,75728,77.55093592
调,35843,調,35519,diào/tiáo/zhōu,3,400,106379,71.00435351
订,35746,訂,35330,dìng,3,1176,22991,91.5697735
断,26029,斷,26039,duàn,3,434,97235,72.7830711
顿,39039,頓,38931,dùn/dú,3,794,44425,85.15237601
烦,28902,煩,29033,fán/fan,3,1253,20076,92.42072896
反,21453,反,21453,fǎn/fàn,3,237,181385,59.39537958
范,33539,範,31684,fàn,3,705,53033,82.91093108
防,38450,防,38450,fáng,3,548,74459,77.74454172
访,35775,訪,35370,fǎng,3,1037,29134,89.71708381
啡,21857,啡,21857,fēi/pèi/pái/bài/pēi,3,2326,4688,98.10350656
费,36153,費,36027,fèi/fú/bì,3,486,84359,75.20495104
丰,20016,豐,35920,fēng,3,1189,22439,91.72263596
否,21542,否,21542,fǒu/pǐ,3,620,64772,80.32158691
夫,22827,夫,22827,fu/fū/fú,3,377,114784,69.69948862
福,31119,福,31119,fú/fù,3,683,55871,82.29399712
父,29238,父,29238,fù/fǔ,3,589,68576,79.24939626
付,20184,付,20184,fù/fu,3,820,42527,85.73382905
负,36127,負,36000,fù/fu,3,691,54616,82.52173864
富,23500,富,23500,fù,3,733,50273,83.65946076
概,27010,概,27010,gài/guì/jié,3,791,44501,85.08344049
赶,36214,趕,36245,gǎn,3,908,36599,87.52844863
敢,25954,敢,25954,gǎn,3,795,44338,85.17528923
格,26684,格,26684,gé/ge/luò/hè/gē,3,325,133986,66.4221913
各,21508,各,21508,gè/gě,3,209,193435,56.69184709
根,26681,根,26681,gēn,3,352,120778,68.17930106
功,21151,功,21151,gōng,3,452,92052,73.66557784
姑,22993,姑,22993,gū/gu,3,994,31647,89.04362802
古,21476,古,21476,gǔ/gù/kū,3,509,80454,76.18277983
挂,25346,掛,25499,guà,3,1232,20706,92.19977489
怪,24618,怪,24618,guài,3,775,46600,84.70798679
管,31649,管,31649,guǎn,3,252,170746,60.76478526
光,20809,光,20809,guāng/guàng,3,290,147639,63.89132757
规,35268,規,35215,guī/guì/xù,3,321,134528,66.14500894
哈,21704,哈,21704,hā/hà/hē/hé/hǎ/tà/shà,3,713,52475,83.12899477
害,23475,害,23475,hài/hai/hé,3,579,69462,78.89261917
何,20309,何,20309,hé/hè,3,229,184335,58.64057924
互,20114,互,20114,hù,3,819,42579,85.71185173
华,21326,華,33775,huá/huā/huà/kuā,3,412,103158,71.65056593
化,21270,化,21270,huà/huā/huò,3,178,224729,53.39229183
环,29615,環,29872,huán/huàn,3,681,55971,82.23621589
婚,23130,婚,23130,hūn,3,942,34610,88.15425011
积,31215,積,31309,jī,3,728,50720,83.52918181
基,22522,基,22522,jī,3,280,153462,63.11988519
及,21450,及,21450,jí,3,198,202671,55.57107191
极,26497,極,26997,jí/jǐ,3,363,117736,68.85895568
集,38598,集,38598,jí,3,406,104019,71.32959379
纪,32426,紀,32000,jì/jǐ,3,584,69045,79.07163819
技,25216,技,25216,jì/qí,3,422,99790,72.17271116
济,27982,濟,28639,jì/jǐ/qí,3,360,119161,68.67549128
继,32487,繼,32380,jì,3,655,60428,81.45340269
价,20215,價,20729,jià/qiǎ/jie,3,409,103634,71.49052274
架,26550,架,26550,jià,3,846,40619,86.29168982
坚,22362,堅,22533,jiān,3,748,48749,84.04380368
简,31616,簡,31777,jiǎn,3,716,52280,83.21016518
建,24314,建,24314,jiàn,3,244,178289,60.04577021
将,23558,將,23559,jiāng/jiàng/qiāng/yáng/jiǎng,3,132,295586,47.149484
蕉,34121,蕉,34121,jiāo/qiáo/qiāo,3,3104,1663,99.27276962
较,36739,較,36611,jiào/jué/xiào,3,491,82870,75.42124784
解,35299,解,35299,jiě/jiè/xiè,3,201,200090,55.88163497
界,30028,界,30028,jiè,3,288,148438,63.73859379
金,37329,金,37329,jīn/jìn,3,260,167912,61.46295474
仅,20165,僅,20677,jǐn/jìn,3,494,82729,75.54961882
尽,23613,儘,20760,jìn/jǐn,3,488,84270,75.2920836
尽,23613,盡,30433,jǐn/jìn,3,488,84270,75.2920836
紧,32039,緊,32202,jǐn,3,560,72300,78.19925786
精,31934,精,31934,jīng/qíng/jìng,3,435,97135,72.83326902
景,26223,景,26223,jǐng/yǐng,3,814,42738,85.60161681
警,35686,警,35686,jǐng,3,687,55189,82.40836477
境,22659,境,22659,jìng,3,582,69360,79.00024278
旧,26087,舊,33290,jiù,3,915,36291,87.66013737
救,25937,救,25937,jiù/jiū,3,872,38824,86.82653763
具,20855,具,20855,jù/ju,3,391,108811,70.50464296
剧,21095,劇,21127,jù,3,909,36585,87.54735522
据,25454,據,25818,jù,3,313,137990,65.58235034
决,20915,決,27770,jué/quē/xuè,3,273,157959,62.55752374
绝,32477,絕,32085,jué,3,562,72074,78.273816
咖,21654,咖,21654,kā/jiā/gā,3,2379,4366,98.22740115
恐,24656,恐,24656,kǒng,3,891,37676,87.20159444
苦,33510,苦,33510,kǔ/gǔ/hù,3,634,63194,80.78454526
裤,35044,褲,35122,kù,3,2090,6282,97.43792297
况,20917,況,27841,kuàng,3,419,100680,72.01753764
困,22256,困,22256,kùn,3,868,39172,86.74601837
浪,28010,浪,28010,làng/láng,3,1186,22639,91.68768113
类,31867,類,39006,lèi,3,311,138280,65.43961118
李,26446,李,26446,li/lǐ,3,472,86593,74.58749978
历,21382,歷,27511,lì,3,480,85487,74.94271514
历,21382,曆,26310,lì,3,480,85487,74.94271514
立,31435,立,31435,lì/wèi,3,197,204985,55.46633455
丽,20029,麗,40599,lì/lí/lǐ/sī,3,834,41363,86.03786046
连,36830,連,36899,lián/liǎn/liàn/làn,3,399,106814,70.94937843
联,32852,聯,32879,lián,3,356,120301,68.42822044
烈,28872,烈,28872,liè,3,802,43751,85.33448696
领,39046,領,38936,lǐng,3,329,130993,66.69495721
另,21478,另,21478,lìng,3,489,83702,75.33533955
龙,40857,龍,40845,lóng/máng,3,696,54169,82.6622148
录,24405,錄,37636,lù,3,919,36080,87.73489293
乱,20081,亂,20098,luàn,3,765,47474,84.46535617
落,33853,落,33853,luò/là/lào/luō,3,496,82641,75.63505839
麻,40635,麻,40635,má/ma/mā,3,1108,25584,90.7138936
冒,20882,冒,20882,mào/mò,3,1222,20917,92.09217247
媒,23186,媒,23186,méi/mèi,3,1506,13802,94.59635562
每,27599,每,27599,měi,3,359,119594,68.61391064
美,32654,美,32654,měi,3,151,269452,49.91593508
迷,36855,迷,36855,mí/mì,3,1153,23959,91.29001497
民,27665,民,27665,mín,3,113,335796,44.12431426
命,21629,命,21629,mìng,3,258,168358,61.28928703
某,26576,某,26576,mǒu/méi,3,517,79482,76.51369286
母,27597,母,27597,mǔ/mú/wǔ/wú,3,565,71462,78.38506692
木,26408,木,26408,mù,3,694,54433,82.60617927
内,20869,內,20839,nèi,3,175,231331,53.03997615
念,24565,念,24565,niàn,3,477,85953,74.80987191
娘,23064,娘,23064,niang/niáng,3,881,38274,87.00533805
农,20892,農,36786,nóng,3,465,88412,74.27050223
暖,26262,暖,26262,nuǎn/xuān,3,1745,9762,96.02481329
拍,25293,拍,25293,pāi/bó,3,1167,23483,91.46161606
牌,29260,牌,29260,pái,3,1261,19752,92.50309572
派,27966,派,27966,pài/mài/bài/pā,3,532,76750,77.11779608
判,21028,判,21028,pàn,3,719,52045,83.29096815
胖,32982,胖,32982,pàng/pàn/pán,3,1893,8184,96.70490408
配,37197,配,37197,pèi,3,738,49900,83.7887697
批,25209,批,25209,pī/pí,3,569,70580,78.53164217
皮,30382,皮,30382,pí,3,741,49803,83.86602236
啤,21860,啤,21860,pí,3,2849,2332,99.01366182
品,21697,品,21697,pǐn,3,308,138528,65.22511021
评,35780,評,35413,píng,3,809,42966,85.49102996
苹,33529,蘋,34315,píng/pín,3,2478,3805,98.43516118
破,30772,破,30772,pò,3,604,67268,79.77603287
齐,40784,齊,40778,qí/jī/jì/zī/zhāi/jiǎn,3,1063,27480,90.09853842
奇,22855,奇,22855,qí/jī/ǎi/yǐ,3,563,71919,78.31098267
器,22120,器,22120,qì,3,441,95444,73.13169073
强,24378,強,24375,qiáng/qiǎng,3,292,146665,64.04339935
桥,26725,橋,27211,qiáo/jiāo/jiào/qiāo/jiǎo,3,1292,18815,92.81133377
巧,24039,巧,24039,qiǎo,3,1219,20964,92.05970596
切,20999,切,20999,qiè/qiē/qì,3,337,126391,67.22313229
亲,20146,親,35242,qīn/qin/qìng,3,362,118451,68.79811147
庆,24198,慶,24950,qìng/qīng/qiāng,3,1269,19487,92.58404598
区,21306,區,21312,qū/ōu/gōu/qiū/kòu,3,265,164775,61.89164765
缺,32570,缺,32570,quē/kuǐ,3,875,38506,86.88635189
裙,35033,裙,35033,qún,3,2431,4062,98.34027787
群,32676,群,32676,qún,3,570,70459,78.56805433
任,20219,任,20219,rèn/rén/lìn,3,186,212485,54.28391415
仍,20173,仍,20173,réng,3,601,67490,79.67165416
容,23481,容,23481,róng/yǒng,3,442,95407,73.18099565
赛,36187,賽,36093,sài,3,1064,27472,90.11273554
散,25955,散,25955,sàn/sǎn/sān,3,866,39336,86.70545901
沙,27801,沙,27801,shā/shà/suō,3,848,40573,86.33363727
衫,34923,衫,34923,shān,3,2153,5802,97.63425429
善,21892,善,21892,shàn,3,749,48739,84.06899127
伤,20260,傷,20663,shāng,3,660,59632,81.6082434
设,35774,設,35373,shè,3,302,142742,64.78923192
社,31038,社,31038,shè,3,270,159527,62.3115459
深,28145,深,28145,shēn,3,401,105924,71.05909346
神,31070,神,31070,shén/shen/shēn,3,227,184554,58.44998629
升,21319,升,21319,shēng,3,837,41105,86.10163227
胜,32988,勝,21213,shèng,3,743,49565,83.91732207
失,22833,失,22833,shī/yì,3,375,115346,69.5806947
石,30707,石,30707,shí/dàn,3,414,102149,71.75649758
始,22987,始,22987,shǐ,3,381,112987,69.9346703
世,19990,世,19990,shì,3,181,214990,53.73122795
式,24335,式,24335,shì/shi/tè,3,303,142292,64.86276631
似,20284,似,20284,shì/sì,3,431,98057,72.63170887
势,21183,勢,21218,shì/shi,3,506,80705,76.05793643
首,39318,首,39318,shǒu,3,481,85036,74.98666048
输,36755,輸,36664,shū/shù,3,939,34688,88.10057164
属,23646,屬,23660,shǔ/zhǔ,3,610,66374,79.98305441
术,26415,術,34899,shù,3,328,131634,66.62726197
束,26463,束,26463,shù,3,998,31370,89.10864476
双,21452,雙,38617,shuāng,3,581,69440,78.96439856
死,27515,死,27515,sǐ,3,317,136194,65.86470726
速,36895,速,36895,sù,3,617,65094,80.22094198
台,21488,臺,33274,tái,3,388,109362,70.33563768
台,21488,台,21488,tái/yí/sì,3,388,109362,70.33563768
台,21488,颱,39089,tái,3,388,109362,70.33563768
台,21488,檯,27311,tái,3,388,109362,70.33563768
谈,35848,談,35527,tán,3,474,86089,74.67660026
汤,27748,湯,28271,tāng/tang/tàng/shāng/yáng,3,1618,11620,95.32510534
糖,31958,糖,31958,táng,3,1746,9757,96.02985557
甜,29980,甜,29980,tián,3,2020,6894,97.19947314
跳,36339,跳,36339,tiào/diào/táo,3,999,31324,89.12483254
痛,30171,痛,30171,tòng,3,730,50459,83.58140811
突,31361,突,31361,tū,3,484,84474,75.11775905
土,22303,土,22303,tǔ/dù/chǎ/tú,3,515,79809,76.43142583
团,22242,團,22296,tuán/chuán,3,405,104151,71.27583831
退,36864,退,36864,tuì,3,723,51272,83.39742485
望,26395,望,26395,wàng/wang,3,326,133145,66.49099865
危,21361,危,21361,wēi,3,826,42080,85.86516896
围,22260,圍,22285,wéi,3,576,69641,78.7848457
伟,20255,偉,20553,wěi,3,1107,25591,90.70067217
卫,21355,衛,34907,wèi,3,669,58408,81.88157158
握,25569,握,25569,wò/òu,3,1032,29418,89.64148796
屋,23627,屋,23627,wū,3,863,39588,86.6443135
武,27494,武,27494,wǔ,3,501,81863,75.84797231
舞,33310,舞,33310,wǔ,3,1144,24360,91.17780386
误,35823,誤,35492,wù/wu,3,854,40196,86.45894371
希,24076,希,24076,xī,3,508,80460,76.1412024
戏,25103,戲,25138,xì/hū/xī/huī/suō/yī,3,1033,29402,89.65668248
显,26174,顯,39023,xiǎn/xiàn,3,469,87825,74.45247003
险,38505,險,38570,xiǎn/jiǎn/yán,3,672,58047,81.97164826
线,32447,線,32218,xiàn,3,430,98261,72.58103447
乡,20065,鄉,37129,xiāng/xiǎng/xiàng,3,922,36025,87.79074913
香,39321,香,39321,xiāng,3,776,46525,84.73203022
箱,31665,箱,31665,xiāng,3,1453,14913,94.20470845
象,35937,象,35937,xiàng,3,300,143453,64.64150269
消,28040,消,28040,xiāo,3,439,96263,73.03293258
效,25928,效,25928,xiào,3,551,74009,77.85944941
血,34880,血,34880,xuè/xiě,3,658,59944,81.54656199
形,24418,形,24418,xíng/xing,3,269,162049,62.22910472
幸,24184,幸,24184,xìng/niè,3,902,37198,87.41449855
幸,24184,倖,20502,xìng,3,902,37198,87.41449855
性,24615,性,24615,xìng/xing,3,122,309844,45.59586251
修,20462,修,20462,xiū,3,740,49829,83.84028491
需,38656,需,38656,xū/nuò/rú/ruǎn,3,408,103832,71.43696623
续,32493,續,32396,xù,3,552,73927,77.89765378
宣,23459,宣,23459,xuān,3,770,47041,84.58712366
训,35757,訓,35347,xun/xùn,3,1022,29911,89.48873713
压,21387,壓,22739,yā/yà,3,756,48038,84.24370082
烟,28895,煙,29017,yān,3,967,33137,88.59329577
演,28436,演,28436,yǎn/yàn,3,715,52394,83.18314765
验,39564,驗,39511,yàn,3,534,76542,77.19694792
羊,32650,羊,32650,yáng,3,1337,17763,93.23499267
义,20041,義,32681,yì/yí/xī,3,208,193507,56.59188276
艺,33402,藝,34269,yì,3,786,45218,84.96782429
议,35758,議,35696,yì,3,368,116810,69.16141607
易,26131,易,26131,yì,3,461,89730,74.08619856
营,33829,營,29151,yíng/cuō,3,536,76372,77.27588633
